,-9,-7,-5,-3,-1,1,3,5,7,9,date,newborn,dead,WALE,11
1434,791040.0282,50447.61095,4814.070634,7079.903581,869.8917372,550.5958933,446.3138003,102.958718,150.4795103,189.4622306,4/4/2020,857653.8152,855691.3152,3.751851388,0
1435,479620.1684,63137.51163,2844.801159,2406.161237,2005.782055,493.9141971,352.3306368,53.46861236,14.88335671,140.2330179,4/5/2020,553256.7543,551069.2543,4.058508013,0
1436,862386.5086,206769.6663,6102.135309,6677.291373,3667.792844,1696.939781,670.1847093,27.28738228,5.00368375,11.68408878,4/6/2020,1089614.494,1088014.494,4.449022613,0
1437,1042398.515,86475.9474,20113.20565,9648.458266,10159.69104,1205.71472,3715.378461,43.17226811,102.616427,149.9474796,4/7/2020,1176112.646,1174012.646,8.461811249,0
1438,632551.029,113554.0298,5370.91294,2207.154335,2178.357727,1444.679043,1108.346595,237.1961711,42.56400879,57.51230211,4/8/2020,760551.7819,758751.7819,5.233980583,0
1439,914030.5187,161301.7979,7963.802757,6466.740552,6776.306267,903.3985292,3857.296895,75.3249126,59.30845225,29.00310252,4/9/2020,1103388.498,1101463.498,6.7566168,0
1440,820600.5753,75506.38754,182005.6996,1742.546147,2561.880887,1634.811168,2028.768502,678.8504043,169.2669164,37.21321901,4/10/2020,1089003.5,1086966,11.31533816,0
1441,550146.6224,48847.56195,3254.351551,1669.341866,1579.934128,252.1964641,1129.294324,15.5741437,5.16936086,27.81962141,4/11/2020,608915.3658,606927.8658,3.755582068,0
1442,428473.285,57593.61419,2958.221951,882.1047344,760.382748,1312.76344,315.3973957,2.69784592,6.6257989,15.45715,4/12/2020,494233.0503,492320.5503,3.302619627,0
1443,684425.7117,275049.5414,18652.65627,1303.460727,2259.175544,1222.199368,448.9179431,26.56566459,44.952611,15.93082523,4/13/2020,985586.6121,983449.1121,4.048388594,0
1444,671139.7621,84791.48588,7186.847705,4445.377889,1112.856851,620.8989419,1350.317051,29.96551882,125.5628304,125.8829879,4/14/2020,773028.9577,770928.9577,4.737782656,0
1445,755672.5225,106247.7975,6817.412316,1353.60471,1204.211501,1028.33315,3116.70237,75.91803916,1.29097067,149.4414599,4/15/2020,877779.7345,875667.2345,5.614062388,0
1446,937901.2088,132666.4265,25210.25145,2974.725842,4421.077798,619.8375164,2977.404951,60.09911876,0.58886795,439.0267015,4/16/2020,1109195.648,1107270.648,6.921437019,0
1447,828393.0226,92373.61491,4746.898234,8482.857453,6092.46923,1500.334165,2652.022354,54.63037057,26.99957748,9.67022399,4/17/2020,945920.0191,944332.5191,6.229782708,0
1448,551729.4686,50823.3716,2969.629726,1929.387214,1356.296796,1773.611667,652.1640061,25.66670528,9.28780562,35.41870595,4/18/2020,613279.3029,611304.3029,4.026299939,0
1449,469206.9386,57931.15729,4362.881962,6778.486072,3152.292451,3020.534582,481.6033886,264.5770411,3.14430763,492.8930694,4/19/2020,547594.5087,545694.5087,10.56042406,0
1450,705087.9751,117593.615,6793.326791,1865.458038,2214.46556,1802.000375,1788.340225,547.9301903,33.09908874,41.89785642,4/20/2020,839780.6083,837768.1083,6.273594763,0
1451,701705.2305,88741.98749,8370.977259,3324.222205,3340.356341,1288.573313,1241.776877,100.5656062,0.78218603,93.46174781,4/21/2020,810070.4335,808207.9335,5.725018154,0
1452,705887.7049,144397.4121,6365.197721,988.6835472,2636.153233,920.1996443,3767.852095,103.6626586,1.09452187,12.89204456,4/22/2020,866718.3525,865080.8525,6.781243882,0
1453,783647.0806,107808.1344,15688.59251,6376.071274,2768.893213,3680.154108,1947.573412,43.17595758,47.98554258,749.776654,4/23/2020,924532.4376,922757.4376,9.215653827,0
1454,1081105.538,158436.3357,14780.58909,3627.167359,3498.670097,1203.852446,692.6720655,32.31156968,30.29973519,195.8788155,4/24/2020,1265403.315,1263603.315,4.155122158,0
1455,542587.4699,48754.83225,6566.920911,9458.981884,1159.549275,1235.883648,1148.984844,65.97860538,10.31453046,124.2989625,4/25/2020,612813.2148,611113.2148,6.739084843,0
1456,447217.6073,58344.53226,10158.80642,2248.927373,1128.788055,1019.348072,1331.406125,23.3572656,560.5928119,82.7922186,4/26/2020,523828.6579,522116.1579,8.496461677,0
1457,750709.1713,258992.6611,11799.50493,5793.131692,2506.153217,2063.817947,375.3085425,296.7869997,368.4638192,547.7247459,4/27/2020,1035215.224,1033452.724,7.310110539,0
1458,780042.8423,80626.03209,10005.04943,1561.439564,3888.650229,2769.493177,362.5005309,21.16757504,61.07546857,7.21862849,4/28/2020,881270.469,879345.469,4.766338841,0
1459,1298754.542,300403.5272,166334.5195,4607.23388,12241.66797,9593.793804,3072.013169,312.0651747,3.43499614,38.9006101,4/29/2020,1797174.198,1795361.698,12.44501887,0
1460,1782782.357,168107.3771,46162.97781,8101.146491,7825.626246,5210.502387,2375.272199,61.92672899,7.94723837,21.96121544,4/30/2020,2022344.594,2020657.094,5.722167359,0
1461,929024.421,105158.0842,31425.12769,3257.380287,2432.0191,1501.274414,1583.1796,115.2504209,22.95431768,36.18363006,5/1/2020,1076318.375,1074555.875,5.281284441,0
1462,471397.8846,62690.31058,9675.289464,2073.260556,1918.298268,830.3787795,823.9209024,36.51835113,10.08004592,39.7020069,5/2/2020,551345.6436,549495.6436,5.250956206,0
1463,528436.4703,181023.941,7985.689813,2679.481762,2935.847935,2331.721556,2248.381615,107.3369706,32.73455572,46.76093724,5/3/2020,729928.3665,727828.3665,7.928723858,0
1464,763514.1544,123618.8615,17064.15538,1631.440867,4149.51684,856.6703881,1153.01745,149.8348044,13.87185976,21.65596091,5/4/2020,914148.1795,912173.1795,4.838559345,0
1465,860917.2496,208064.3283,8561.458166,2790.760139,6115.335237,1385.174986,1020.093662,217.9745479,30.52865497,151.7954456,5/5/2020,1091229.699,1089254.699,4.858237473,0
1466,838147.3374,118792.9634,30151.30243,3863.762295,7901.945947,16002.88613,1295.117737,240.9597836,3.51874902,939.2094101,5/6/2020,1019264.003,1017339.003,14.32103939,0
1467,973325.5559,248075.7194,29370.39621,5099.918791,23900.83066,35279.04154,1936.173734,171.1308626,10.98173175,473.3483517,5/7/2020,1319480.597,1317643.097,19.74311557,0
1468,1107631.754,160734.7246,25568.49257,6279.916367,13712.11381,2626.529664,7358.596587,352.576587,110.4729897,590.2825571,5/8/2020,1326677.96,1324965.46,12.65275548,0
1469,922250.1986,210758.9077,19039.65478,4418.962494,4928.32041,5896.186416,2216.252172,301.6998998,13.23740668,165.6404155,5/9/2020,1171689.06,1169989.06,7.97807771,0
1470,708510.3941,69263.29825,12215.93533,4639.986218,2848.53144,4023.569693,1383.063881,22.18329347,59.53211568,28.77605803,5/10/2020,805120.2704,802995.2704,7.476877991,0
1471,876775.2289,242880.0014,17165.40592,5042.619814,3846.277812,16412.60179,1167.633745,75.50749741,8.76900135,88.38032614,5/11/2020,1165274.926,1163462.426,11.23127302,0
1472,958551.8872,226931.9979,10006.52955,4705.415861,1673.715055,1251.944481,1048.048575,263.5101861,40.9168567,190.4394684,5/12/2020,1205576.905,1204664.405,3.991389217,0
1473,908609.38,172919.7042,21474.00293,2936.189279,2633.263137,1082.875934,602.461066,47.3468796,17.1753398,471.7134279,5/13/2020,1111537.862,1110794.112,4.72121082,0
1474,995066.4287,118834.4432,10963.3068,3451.977268,4821.506676,2499.431281,1892.81377,44.1968506,9.82280311,305.9658819,5/14/2020,1138602.393,1137889.893,5.93588267,0
1475,836665.5698,129070.3858,20660.79237,2428.615607,11530.6003,2292.383995,1160.30335,44.91920374,24.64640689,34.36821643,5/15/2020,1004693.835,1003912.585,7.574947898,0
1476,503287.601,72769.7495,6056.651187,1437.33214,1177.403458,831.0989309,827.2806952,40.03293603,1.55570169,1264.830152,5/16/2020,588481.0357,587693.5357,9.068724005,0
1477,514775.3465,61473.38224,4907.578072,2186.516213,1632.904595,633.9257711,1324.493364,13.31017088,1.94069205,211.5174392,5/17/2020,587798.4151,587160.9151,5.66377661,0
1478,872343.001,143886.6946,35546.07467,3283.237409,3219.883801,2277.989625,1131.596884,124.7050559,64.01642488,321.5964016,5/18/2020,1062998.796,1062198.796,6.531562772,0
1479,995355.8704,167853.5599,5010.982213,2170.744599,3194.275847,1407.833569,846.1575243,42.33314614,244.2898881,11.7838834,5/19/2020,1176856.581,1176137.831,3.572833615,0
1480,911795.655,152385.8482,7574.779447,3659.299919,6782.106837,1353.148211,855.9760191,17.99821644,36.09567236,215.9610601,5/20/2020,1085395.619,1084676.869,5.696105765,50
1481,860415.9691,91429.80727,15543.76744,3403.374479,2774.555466,951.1343297,5484.214951,202.9218588,54.53179914,28.8643266,5/21/2020,981107.8911,980289.1411,8.444422576,0
1482,872784.7087,94176.90672,8149.598184,3611.172962,4331.071003,2833.36298,422.0194179,32.20349968,42.70499172,10.52112122,5/22/2020,987088.0196,986394.2696,5.191708756,0
1483,492559.6254,47178.78322,3448.445947,8437.04044,1763.820023,626.8854335,1011.540706,128.3777913,96.49592645,36.00335841,5/23/2020,556030.7683,555287.0183,6.673245823,0
1484,485969.2698,94769.45166,8339.343055,2400.717075,1898.175094,1137.143285,533.6320121,37.05093598,58.34143432,67.08949541,5/24/2020,595935.2138,595210.2138,4.781405876,0
1485,847965.0895,235339.0643,9951.947369,2066.18664,1663.268761,1122.161662,588.9367877,20.61722045,128.5407242,31.28580052,5/25/2020,1099658.349,1098877.099,3.395801787,0
1486,839817.7506,100202.7184,4678.17964,2223.26081,1726.644634,748.2612294,1987.520156,450.2268729,34.70984371,117.3093665,5/26/2020,952761.5816,951986.5816,5.061474709,0
1487,945498.7822,141835.0309,3636.719859,10082.37973,2217.326023,1140.693315,974.3244965,187.5416225,64.3224354,168.4723702,5/27/2020,1106668.093,1105805.593,4.521281082,0
1488,718999.4901,97029.89603,9033.771395,2355.33833,5812.407421,1824.074841,2677.838564,245.8865535,90.54745227,452.5201671,5/28/2020,839340.5209,838521.7709,9.186859879,0
1489,869389.3447,151494.002,8269.281092,2667.499205,13303.34145,815.1818363,805.3865334,52.93825426,46.34902758,38.40634009,5/29/2020,1047675.481,1046881.731,6.946404812,0
1490,521874.6147,51433.25403,3938.875832,3856.658629,3029.058908,1119.444077,832.0162667,69.01723674,45.68931448,266.5163283,5/30/2020,587440.1453,586465.1453,6.68183234,0
1491,631773.9858,99054.07218,10436.22488,1623.56418,2430.760607,1883.078505,4238.907272,156.9163383,44.26426125,411.1350312,5/31/2020,752990.409,752052.909,10.61377071,0
1492,988492.6564,185365.5336,12288.33375,3973.376465,55545.23475,4827.672596,839.3862354,1060.880425,244.9850331,20.61686188,6/1/2020,1253496.176,1252658.676,17.87942232,0
1493,1373084.992,141603.5178,28953.01847,7280.525424,7906.006895,4401.718715,2070.525891,72.93333681,14.11444125,74.20045793,6/2/2020,1566267.803,1565461.553,6.406649424,0
1494,1017936.551,91857.91789,8041.48042,3244.915341,1551.953591,3922.77482,1493.075479,29.43117194,53.67338735,212.1296261,6/3/2020,1129212.652,1128343.902,5.047091263,0
1495,984930.6148,138098.6099,14169.36678,2762.119111,8166.927636,2356.756035,1034.373391,47.37538111,72.68695624,65.76207919,6/4/2020,1152648.342,1151704.592,5.440465997,0
1496,938777.9671,102528.253,6880.551279,6228.044164,2554.660441,957.4801842,2102.877185,67.6648337,71.35746727,59.00154344,6/5/2020,1061346.607,1060227.857,5.044894234,0
1497,446828.5178,39589.36709,3636.35618,1112.98793,1466.551167,2242.003641,1810.548566,123.866523,48.02819746,1029.832692,6/6/2020,499113.0598,497888.0598,13.08929364,0
1498,386761.3396,56101.52227,3144.056994,1138.215694,1232.38759,942.0943751,538.1888257,33.74285218,142.3047277,1137.688694,6/7/2020,452165.2916,451171.5416,11.39552153,0
1499,815409.9425,124310.7451,12864.87422,2838.647257,4983.700107,21034.99875,1317.37628,95.57511231,34.7940465,31.58083148,6/8/2020,983934.7342,982922.2342,15.21535729,0
1500,734598.1639,119260.7461,13412.87984,3860.938726,2907.568588,1846.24428,1551.879784,181.3145581,321.14749,243.2925755,6/9/2020,879184.1759,878184.1759,7.128378104,0
1501,1076580.975,98528.81404,6473.688487,2552.351147,5556.642322,2441.353626,2069.402537,454.6909163,26.32652869,268.8769491,6/10/2020,1195978.121,1194953.121,6.142006688,0
1502,840781.988,138381.3394,11778.0865,3136.572645,3012.979731,1400.744602,1675.687168,114.8481619,66.55300117,126.236508,6/11/2020,1001631.286,1000475.036,5.340405731,0
1503,732934.9876,78970.31056,9751.502469,2202.536641,3622.648599,738.9283851,831.7900342,102.2939582,44.22949685,35.88605062,6/12/2020,830253.8637,829235.1137,4.381519683,0
1504,521341.7461,47099.73556,4486.862238,5746.052911,1393.168414,586.7991298,480.6240582,7.96692946,49.64392678,31.58239504,6/13/2020,582211.6817,581224.1817,4.488880675,0
